millis,stamp,datetime,temp
99999, 1497825301, 2017/6/18 22:35:1, 18.70
100999, 1497825302, 2017/6/18 22:35:2, 18.70
101999, 1497825303, 2017/6/18 22:35:3, 18.70
102999, 1497825304, 2017/6/18 22:35:4, 18.70
104000, 1497825305, 2017/6/18 22:35:5, 18.70
104998, 1497825306, 2017/6/18 22:35:6, 18.70
105999, 1497825307, 2017/6/18 22:35:7, 18.70
106998, 1497825308, 2017/6/18 22:35:8, 18.70
107999, 1497825309, 2017/6/18 22:35:9, 18.70
108999, 1497825310, 2017/6/18 22:35:10, 18.70
109999, 1497825311, 2017/6/18 22:35:11, 18.70
110999, 1497825312, 2017/6/18 22:35:12, 18.70
111998, 1497825313, 2017/6/18 22:35:13, 18.70
112999, 1497825314, 2017/6/18 22:35:14, 18.70
113999, 1497825315, 2017/6/18 22:35:15, 18.70
115000, 1497825316, 2017/6/18 22:35:16, 18.70
115999, 1497825317, 2017/6/18 22:35:17, 18.70
116999, 1497825318, 2017/6/18 22:35:18, 18.70
117999, 1497825319, 2017/6/18 22:35:19, 18.70
119000, 1497825320, 2017/6/18 22:35:20, 18.70
119999, 1497825321, 2017/6/18 22:35:21, 18.70
120998, 1497825322, 2017/6/18 22:35:22, 18.70
122000, 1497825323, 2017/6/18 22:35:23, 18.60
122999, 1497825324, 2017/6/18 22:35:24, 18.60
124000, 1497825325, 2017/6/18 22:35:25, 18.60
124998, 1497825326, 2017/6/18 22:35:26, 18.70
125999, 1497825327, 2017/6/18 22:35:27, 18.70
126999, 1497825328, 2017/6/18 22:35:28, 18.70
127998, 1497825329, 2017/6/18 22:35:29, 18.70
129000, 1497825330, 2017/6/18 22:35:30, 18.70
129999, 1497825331, 2017/6/18 22:35:31, 18.70
131000, 1497825332, 2017/6/18 22:35:32, 18.60
132000, 1497825333, 2017/6/18 22:35:33, 18.60
132999, 1497825334, 2017/6/18 22:35:34, 18.60
133999, 1497825335, 2017/6/18 22:35:35, 18.60
134999, 1497825336, 2017/6/18 22:35:36, 18.60
135999, 1497825337, 2017/6/18 22:35:37, 18.60
136998, 1497825338, 2017/6/18 22:35:38, 18.60
138000, 1497825339, 2017/6/18 22:35:39, 18.60
138999, 1497825340, 2017/6/18 22:35:40, 18.60
139999, 1497825341, 2017/6/18 22:35:41, 18.60
140999, 1497825342, 2017/6/18 22:35:42, 18.60
142000, 1497825343, 2017/6/18 22:35:43, 18.60
142999, 1497825344, 2017/6/18 22:35:44, 18.60
143998, 1497825345, 2017/6/18 22:35:45, 18.60
144999, 1497825346, 2017/6/18 22:35:46, 18.60
145999, 1497825347, 2017/6/18 22:35:47, 18.60
147000, 1497825348, 2017/6/18 22:35:48, 18.60
148000, 1497825349, 2017/6/18 22:35:49, 18.60
148999, 1497825350, 2017/6/18 22:35:50, 18.60
149999, 1497825351, 2017/6/18 22:35:51, 18.60
150999, 1497825352, 2017/6/18 22:35:52, 18.60
152000, 1497825353, 2017/6/18 22:35:53, 18.60
152998, 1497825354, 2017/6/18 22:35:54, 18.60
153999, 1497825355, 2017/6/18 22:35:55, 18.60
154999, 1497825356, 2017/6/18 22:35:56, 18.60
156000, 1497825357, 2017/6/18 22:35:57, 18.60
156998, 1497825358, 2017/6/18 22:35:58, 18.60
158000, 1497825359, 2017/6/18 22:35:59, 18.60
158999, 1497825360, 2017/6/18 22:36:0, 18.60
159998, 1497825361, 2017/6/18 22:36:1, 18.60
160999, 1497825362, 2017/6/18 22:36:2, 18.60
161999, 1497825363, 2017/6/18 22:36:3, 18.50
162999, 1497825364, 2017/6/18 22:36:4, 18.50
163998, 1497825365, 2017/6/18 22:36:5, 18.50
165000, 1497825366, 2017/6/18 22:36:6, 18.50
165999, 1497825367, 2017/6/18 22:36:7, 18.50
166999, 1497825368, 2017/6/18 22:36:8, 18.50
167999, 1497825369, 2017/6/18 22:36:9, 18.50
168999, 1497825370, 2017/6/18 22:36:10, 18.50
169999, 1497825371, 2017/6/18 22:36:11, 18.50
170999, 1497825372, 2017/6/18 22:36:12, 18.50
171999, 1497825373, 2017/6/18 22:36:13, 18.50
172998, 1497825374, 2017/6/18 22:36:14, 18.50
174000, 1497825375, 2017/6/18 22:36:15, 18.50
174999, 1497825376, 2017/6/18 22:36:16, 18.50
175998, 1497825377, 2017/6/18 22:36:17, 18.50
176999, 1497825378, 2017/6/18 22:36:18, 18.50
177999, 1497825379, 2017/6/18 22:36:19, 18.50
179000, 1497825380, 2017/6/18 22:36:20, 18.50
179998, 1497825381, 2017/6/18 22:36:21, 18.50
181000, 1497825382, 2017/6/18 22:36:22, 18.50
181999, 1497825383, 2017/6/18 22:36:23, 18.50
183000, 1497825384, 2017/6/18 22:36:24, 18.50
183999, 1497825385, 2017/6/18 22:36:25, 18.50
184999, 1497825386, 2017/6/18 22:36:26, 18.50
185999, 1497825387, 2017/6/18 22:36:27, 18.50
186998, 1497825388, 2017/6/18 22:36:28, 18.50
188000, 1497825389, 2017/6/18 22:36:29, 18.50
188999, 1497825390, 2017/6/18 22:36:30, 18.50
190000, 1497825391, 2017/6/18 22:36:31, 18.50
190998, 1497825392, 2017/6/18 22:36:32, 18.50
192001, 1497825393, 2017/6/18 22:36:33, 18.50
192999, 1497825394, 2017/6/18 22:36:34, 18.50
193999, 1497825395, 2017/6/18 22:36:35, 18.50
194999, 1497825396, 2017/6/18 22:36:36, 18.50
195999, 1497825397, 2017/6/18 22:36:37, 18.50
196999, 1497825398, 2017/6/18 22:36:38, 18.50
197999, 1497825399, 2017/6/18 22:36:39, 18.40
198999, 1497825400, 2017/6/18 22:36:40, 18.40
199998, 1497825401, 2017/6/18 22:36:41, 18.40
200999, 1497825402, 2017/6/18 22:36:42, 18.40
202000, 1497825403, 2017/6/18 22:36:43, 18.40
202999, 1497825404, 2017/6/18 22:36:44, 18.40
203999, 1497825405, 2017/6/18 22:36:45, 18.50
205000, 1497825406, 2017/6/18 22:36:46, 18.50
205999, 1497825407, 2017/6/18 22:36:47, 18.40
206999, 1497825408, 2017/6/18 22:36:48, 18.40
207998, 1497825409, 2017/6/18 22:36:49, 18.40
208999, 1497825410, 2017/6/18 22:36:50, 18.40
209999, 1497825411, 2017/6/18 22:36:51, 18.40
211000, 1497825412, 2017/6/18 22:36:52, 18.40
211998, 1497825413, 2017/6/18 22:36:53, 18.40
213000, 1497825414, 2017/6/18 22:36:54, 18.40
213999, 1497825415, 2017/6/18 22:36:55, 18.40
214999, 1497825416, 2017/6/18 22:36:56, 18.40
215999, 1497825417, 2017/6/18 22:36:57, 18.40
216998, 1497825418, 2017/6/18 22:36:58, 18.40
217999, 1497825419, 2017/6/18 22:36:59, 18.40
218998, 1497825420, 2017/6/18 22:37:0, 18.30
219999, 1497825421, 2017/6/18 22:37:1, 18.30
220999, 1497825422, 2017/6/18 22:37:2, 18.40
221999, 1497825423, 2017/6/18 22:37:3, 18.40
222999, 1497825424, 2017/6/18 22:37:4, 18.40
224000, 1497825425, 2017/6/18 22:37:5, 18.40
224999, 1497825426, 2017/6/18 22:37:6, 18.40
225998, 1497825427, 2017/6/18 22:37:7, 18.30
226999, 1497825428, 2017/6/18 22:37:8, 18.30
227998, 1497825429, 2017/6/18 22:37:9, 18.30
228999, 1497825430, 2017/6/18 22:37:10, 18.30
229998, 1497825431, 2017/6/18 22:37:11, 18.30
230999, 1497825432, 2017/6/18 22:37:12, 18.30
231999, 1497825433, 2017/6/18 22:37:13, 18.30
232998, 1497825434, 2017/6/18 22:37:14, 18.30
233999, 1497825435, 2017/6/18 22:37:15, 18.30
234999, 1497825436, 2017/6/18 22:37:16, 18.30
235999, 1497825437, 2017/6/18 22:37:17, 18.30
236998, 1497825438, 2017/6/18 22:37:18, 18.30
237999, 1497825439, 2017/6/18 22:37:19, 18.30
238999, 1497825440, 2017/6/18 22:37:20, 18.30
239998, 1497825441, 2017/6/18 22:37:21, 18.30
240999, 1497825442, 2017/6/18 22:37:22, 18.30
242000, 1497825443, 2017/6/18 22:37:23, 18.30
242999, 1497825444, 2017/6/18 22:37:24, 18.30
244000, 1497825445, 2017/6/18 22:37:25, 18.30
245000, 1497825446, 2017/6/18 22:37:26, 18.30
245998, 1497825447, 2017/6/18 22:37:27, 18.30
246999, 1497825448, 2017/6/18 22:37:28, 18.30
248000, 1497825449, 2017/6/18 22:37:29, 18.20
248999, 1497825450, 2017/6/18 22:37:30, 18.20
250000, 1497825451, 2017/6/18 22:37:31, 18.20
250999, 1497825452, 2017/6/18 22:37:32, 18.20
251999, 1497825453, 2017/6/18 22:37:33, 18.20
252999, 1497825454, 2017/6/18 22:37:34, 18.20
253999, 1497825455, 2017/6/18 22:37:35, 18.20
255000, 1497825456, 2017/6/18 22:37:36, 18.20
255998, 1497825457, 2017/6/18 22:37:37, 18.20
257000, 1497825458, 2017/6/18 22:37:38, 18.30
257999, 1497825459, 2017/6/18 22:37:39, 18.30
259000, 1497825460, 2017/6/18 22:37:40, 18.30
259999, 1497825461, 2017/6/18 22:37:41, 18.20
260999, 1497825462, 2017/6/18 22:37:42, 18.20
261999, 1497825463, 2017/6/18 22:37:43, 18.30
262999, 1497825464, 2017/6/18 22:37:44, 18.30
264000, 1497825465, 2017/6/18 22:37:45, 18.20
264999, 1497825466, 2017/6/18 22:37:46, 18.20
266000, 1497825467, 2017/6/18 22:37:47, 18.20
267000, 1497825468, 2017/6/18 22:37:48, 18.20
267999, 1497825469, 2017/6/18 22:37:49, 18.20
268998, 1497825470, 2017/6/18 22:37:50, 18.20
269999, 1497825471, 2017/6/18 22:37:51, 18.20
271000, 1497825472, 2017/6/18 22:37:52, 18.20
272000, 1497825473, 2017/6/18 22:37:53, 18.20
272999, 1497825474, 2017/6/18 22:37:54, 18.20
273999, 1497825475, 2017/6/18 22:37:55, 18.20
274999, 1497825476, 2017/6/18 22:37:56, 18.20
275999, 1497825477, 2017/6/18 22:37:57, 18.20
276999, 1497825478, 2017/6/18 22:37:58, 18.20
277999, 1497825479, 2017/6/18 22:37:59, 18.20
278999, 1497825480, 2017/6/18 22:38:0, 18.20
280000, 1497825481, 2017/6/18 22:38:1, 18.20
280998, 1497825482, 2017/6/18 22:38:2, 18.20
282000, 1497825483, 2017/6/18 22:38:3, 18.20
283000, 1497825484, 2017/6/18 22:38:4, 18.20
283999, 1497825485, 2017/6/18 22:38:5, 18.20
284999, 1497825486, 2017/6/18 22:38:6, 18.20
285999, 1497825487, 2017/6/18 22:38:7, 18.20
286999, 1497825488, 2017/6/18 22:38:8, 18.20
287998, 1497825489, 2017/6/18 22:38:9, 18.20
288999, 1497825490, 2017/6/18 22:38:10, 18.20
289999, 1497825491, 2017/6/18 22:38:11, 18.20
290999, 1497825492, 2017/6/18 22:38:12, 18.20
291998, 1497825493, 2017/6/18 22:38:13, 18.20
293000, 1497825494, 2017/6/18 22:38:14, 18.20
293999, 1497825495, 2017/6/18 22:38:15, 18.20
294999, 1497825496, 2017/6/18 22:38:16, 18.20
295998, 1497825497, 2017/6/18 22:38:17, 18.20
296998, 1497825498, 2017/6/18 22:38:18, 18.20
297999, 1497825499, 2017/6/18 22:38:19, 18.20
299000, 1497825500, 2017/6/18 22:38:20, 18.20
300000, 1497825501, 2017/6/18 22:38:21, 18.20
300999, 1497825502, 2017/6/18 22:38:22, 18.20
